src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,duration,capture_time,avg_packet_size,packets_per_second,syn_count,ack_count,fin_count,rst_count,syn_ratio,bytes_per_second
192.168.1.1,192.168.1.100,53,62364,17,2,395,0.025079965591430664,2026-06-27 10:51:06,197.5,79.74492599317445,0,0,0,0,0.0,15749.622883651955
13.89.179.8,192.168.1.100,443,59879,6,2,114,0.25481200218200684,2026-06-27 10:51:06,57.0,7.848923845319665,0,2,1,1,0.0,447.3886591832209
13.107.246.72,192.168.1.100,443,51150,6,99,81672,0.1659255027770996,2026-06-27 10:51:06,824.969696969697,596.6533073158396,2,98,0,0,0.020202020202020204,492220.8981323156
192.168.1.100,20.192.44.82,53940,443,6,17,1497,301.428409576416,2026-06-27 10:56:08,88.05882352941177,0.0563981345483969,0,17,0,0,0.0,4.966353377585304
192.168.1.100,20.192.44.82,53939,443,6,8,701,300.0871322154999,2026-06-27 10:56:07,87.625,0.026658923829679593,0,8,0,0,0.0,2.3359882005756742
192.168.1.1,192.168.1.100,53,51857,17,2,247,0.004819154739379883,2026-06-27 10:53:32,123.5,415.0105377727205,0,0,0,0,0.0,51253.80141493098
192.168.1.1,192.168.1.100,53,55460,17,2,509,0.007444620132446289,2026-06-27 10:53:32,254.5,268.6503763010408,0,0,0,0,0.0,68371.5207686149
192.168.1.100,216.239.34.223,50695,443,17,24,14071,0.6454527378082275,2026-06-27 10:53:33,586.2916666666666,37.18320272603866,0,0,0,0,0.0,21800.20189825375
192.168.1.1,192.168.1.100,53,63437,17,2,355,0.026746273040771484,2026-06-27 10:56:06,177.5,74.7767734574174,0,0,0,0,0.0,13272.87728869159
192.168.1.1,192.168.1.100,53,60453,17,2,395,0.02387690544128418,2026-06-27 10:56:06,197.5,83.76294846575534,0,0,0,0,0.0,16543.18232198668
13.107.246.72,192.168.1.100,443,51946,6,102,81905,0.15908098220825195,2026-06-27 10:56:06,802.9901960784314,641.1828653815603,2,101,0,0,0.0196078431372549,514863.55479486956
103.190.198.72,192.168.1.100,443,53265,6,1847,2009129,95.35026001930237,2026-06-27 10:58:00,1087.7796426637792,19.37068655739481,0,1847,0,0,0.0,21071.038501554995
142.250.205.142,192.168.1.100,443,65320,6,6,4291,0.09122109413146973,2026-06-27 10:57:17,715.1666666666666,65.77426040683831,0,6,0,0,0.0,47039.55856762387
192.168.1.100,20.192.44.82,57576,443,6,216,48572,5698.808481693268,2026-06-27 13:06:11,224.87037037037038,0.03790265994968489,0,216,0,0,0.0,8.523185180907845
192.168.1.100,4.213.25.240,49615,443,6,4,228,0.0377047061920166,2026-06-27 11:31:12,57.0,106.08755256252174,0,4,2,0,0.0,6046.990496063739
192.168.1.1,192.168.1.100,53,54415,17,4,1244,0.06670331954956055,2026-06-27 11:31:12,311.0,59.96703053178637,0,0,0,0,0.0,18649.74649538556
192.168.1.100,20.247.185.124,56757,443,6,39,20344,0.497420072555542,2026-06-27 11:31:13,521.6410256410256,78.40455613227239,2,38,2,0,0.05128205128205128,40899.03307576794
192.168.1.1,192.168.1.100,53,56778,17,4,939,0.18459296226501465,2026-06-27 11:31:12,234.75,21.66929849826733,0,0,0,0,0.0,5086.867822468256
192.168.1.100,192.168.1.255,137,137,17,6,660,42.96665668487549,2026-06-27 11:31:55,110.0,0.1396431666537377,0,0,0,0,0.0,15.360748331911145
192.168.1.100,20.202.41.38,56779,3478,17,2,312,0.03677177429199219,2026-06-27 11:31:12,156.0,54.389543026090564,0,0,0,0,0.0,8484.768712070128
192.168.1.100,20.202.41.38,56783,3478,17,2,164,0.035169363021850586,2026-06-27 11:31:12,82.0,56.86767766471653,0,0,0,0,0.0,4663.149568506756
192.168.1.100,20.202.56.122,56779,3478,17,20,3556,1.3695077896118164,2026-06-27 11:31:14,177.8,14.603786960327513,0,0,0,0,0.0,2596.553321546232
192.168.1.100,4.213.25.240,49616,443,6,33,12083,42.97705817222595,2026-06-27 11:31:55,366.1515151515151,0.7678515329680323,2,32,0,0,0.06060606060606061,281.15000220765864
192.168.1.100,20.42.72.131,54055,443,6,8,12755,0.4594569206237793,2026-06-27 11:31:13,1594.375,17.411860918622885,0,8,0,0,0.0,27761.035752129363
140.82.113.22,192.168.1.100,443,58397,6,3,188,1.0024852752685547,2026-06-27 11:31:14,62.666666666666664,2.9925626580363818,0,3,1,0,0.0,187.53392657027993
192.168.1.100,20.247.185.124,50581,443,6,36,20180,0.3591954708099365,2026-06-27 11:31:13,560.5555555555555,100.2239808837927,2,35,2,0,0.05555555555555555,56181.1092843038
192.168.1.100,20.189.172.33,54056,443,6,3,188,1.0118625164031982,2026-06-27 11:31:14,62.666666666666664,2.9648296595311234,0,3,1,0,0.0,185.79599199728372
192.168.1.100,20.202.41.18,56783,3478,17,2,164,0.03735065460205078,2026-06-27 11:31:13,82.0,53.54658496106217,0,0,0,0,0.0,4390.819966807098
192.168.1.100,20.247.185.124,50582,443,6,42,24002,0.4336874485015869,2026-06-27 11:31:13,571.4761904761905,96.8439371374759,2,41,2,0,0.047619047619047616,55344.00426604039
192.168.1.100,20.202.56.73,56779,3478,17,2,164,0.0323331356048584,2026-06-27 11:31:13,82.0,61.85604837223021,0,0,0,0,0.0,5072.195966522877
103.126.33.50,192.168.1.100,39263,56783,17,3,474,0.604485034942627,2026-06-27 11:31:14,158.0,4.962902018384519,0,0,0,0,0.0,784.138518904754
103.126.33.50,192.168.1.100,41200,56779,17,3,474,0.6035783290863037,2026-06-27 11:31:14,158.0,4.970357376053241,0,0,0,0,0.0,785.316465416412
192.168.1.100,20.202.56.73,56779,50186,17,4,552,0.08130264282226562,2026-06-27 11:31:13,138.0,49.19889269459954,0,0,0,0,0.0,6789.447191854737
192.168.1.100,20.247.185.124,50583,443,6,35,20166,0.39945220947265625,2026-06-27 11:31:14,576.1714285714286,87.61999350612143,2,34,2,0,0.05714285714285714,50484.136829841285
192.168.1.100,20.247.185.124,50584,443,6,1,66,0.001,2026-06-27 11:31:14,66.0,1000.0,1,0,0,0,1.0,66000.0
192.168.1.100,20.192.44.82,60547,443,6,40,7694,523.380234003067,2026-06-27 11:40:38,192.35,0.07642627176433568,0,40,0,0,0.0,14.700593373869967
192.168.1.100,216.239.38.223,57232,443,17,3,1419,0.09248805046081543,2026-06-27 11:31:55,473.0,32.4366227318308,0,0,0,0,0.0,15342.52255215597
103.126.33.50,192.168.1.100,59677,53765,17,2,316,0.8105828762054443,2026-06-27 11:31:55,158.0,2.46736028937909,0,0,0,0,0.0,389.84292572189617
192.168.1.100,20.202.56.73,53768,3478,17,2,164,0.03591418266296387,2026-06-27 11:31:55,82.0,55.68830617054469,0,0,0,0,0.0,4566.441105984665
103.126.33.50,192.168.1.100,39279,53768,17,4,632,0.8578364849090576,2026-06-27 11:31:56,158.0,4.662893302357097,0,0,0,0,0.0,736.7371417724214
192.168.1.100,20.202.56.25,53768,3478,17,18,3096,0.8367123603820801,2026-06-27 11:31:56,172.0,21.512769324670188,0,0,0,0,0.0,3700.1963238432722
192.168.1.100,20.202.56.73,53768,50510,17,1632,1122068,997.6433670520782,2026-06-27 11:48:33,687.5416666666666,1.6358551100503709,0,0,0,0,0.0,1124.7185487892154
192.168.1.100,20.192.44.82,60275,443,6,1,81,0.001,2026-06-27 11:31:56,81.0,1000.0,0,1,0,0,0.0,81000.0
